,State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,FIPS
188,FLORIDA,Wakulla,2018,353,266,87,0,0,0,0,98,58,41,3,0,109,241,0,
189,GEORGIA,Bibb,2018,362,250,111,1,0,0,0,106,60,42,0,0,84,278,0,
190,GEORGIA,Charlton,2018,114,105,9,0,0,0,0,65,46,26,0,0,0,114,0,
191,GEORGIA,Chatham,2018,363,232,131,0,0,0,0,77,58,44,0,0,55,308,0,
192,GEORGIA,Chattooga,2018,245,224,21,0,0,0,0,87,50,35,0,0,245,0,0,
193,GEORGIA,Clarke,2018,332,207,123,2,0,0,0,105,61,46,0,0,93,239,0,
194,GEORGIA,Clayton,2018,120,72,48,0,0,0,0,71,59,44,0,0,0,120,0,
195,GEORGIA,Cobb,2018,286,213,73,0,0,0,0,100,61,41,0,0,203,83,0,
196,GEORGIA,Coffee,2018,116,106,10,0,0,0,0,69,49,29,0,0,0,116,0,
197,GEORGIA,Columbia,2018,245,223,22,0,0,0,0,90,50,36,0,0,245,0,0,
198,GEORGIA,Dawson,2018,245,222,21,2,0,0,0,108,50,35,0,0,245,0,0,
199,GEORGIA,Dekalb,2018,365,195,170,0,0,0,0,100,63,49,0,21,76,268,0,
200,GEORGIA,Dougherty,2018,357,227,129,1,0,0,0,137,62,39,0,0,0,357,0,
201,GEORGIA,Douglas,2018,242,214,28,0,0,0,0,93,51,37,0,0,242,0,0,
202,GEORGIA,Floyd,2018,333,151,182,0,0,0,0,82,64,52,0,0,0,333,0,
203,GEORGIA,Fulton,2018,365,153,208,4,0,0,0,133,68,52,1,22,70,272,0,
204,GEORGIA,Glynn,2018,272,247,25,0,0,0,0,74,49,35,0,0,202,70,0,
205,GEORGIA,Gwinnett,2018,361,160,201,0,0,0,0,87,66,52,0,0,66,295,0,
206,GEORGIA,Hall,2018,322,220,102,0,0,0,0,72,58,41,0,0,0,322,0,
207,GEORGIA,Henry,2018,354,246,105,3,0,0,0,115,60,38,0,0,134,220,0,
208,GEORGIA,Houston,2018,322,196,124,2,0,0,0,108,63,46,0,0,0,322,0,
209,GEORGIA,Lowndes,2018,315,167,148,0,0,0,0,94,59,49,0,0,0,315,0,
210,GEORGIA,Murray,2018,271,232,39,0,0,0,0,100,54,37,0,0,205,66,0,
211,GEORGIA,Muscogee,2018,364,257,107,0,0,0,0,98,59,39,0,0,105,259,0,
